assumption_id,statement,central_value,unit,evidence_source_ids,lower_bound,upper_bound,rationale,notes
ASM_PHL_V16_IRRIGATION_CROPPING_INTENSITY,Hold the observed 2020 national irrigated-palay harvested-area to physical-service-area ratio constant when annualizing the rice water coefficient.,1.621861595214357,crops/year,SRC_PSA_OPENSTAT_AGRICULTURE_2020;SRC_PSA_SSAF_2022;SRC_PHL_V16_IRRIGATION_ENGINEERING_INPUTS,,,The model's land activity is physical service area while the calibrated annual crop OAR already embodies multiple cropping.,Does not impose annual activity or harvested area.
ASM_PHL_V16_NO_NATIONAL_WATER_SCALING,Do not calibrate rice IAR by scaling to a national irrigation or agricultural withdrawal total.,engineering calculation,method,SRC_PHL_V16_IRRIGATION_ENGINEERING_INPUTS;SRC_NIA_IRRIGATION_DESIGN_DUTY_2025,,,Crop and cluster coefficients must preserve physical engineering meaning; national totals remain validation benchmarks.,Consistent with the non-forcing calibration rule.
ASM_PHL_V16_GROSS_WITHDRAWAL_BOUNDARY,Represent gross irrigation diversion at AGRWATPHL without adding an unsupported structural allocation of seepage drainage conveyance loss and recoverable return flow.,gross withdrawal,water-account boundary,SRC_FAO_SCHEME_WATER_NEED;SRC_PHL_V16_IRRIGATION_ENGINEERING_INPUTS,,,The requested repair is data-only and no source supports a cluster-specific return-flow partition.,Return-flow structure is retained as a disclosed gap.
ASM_PHL_V17_LAND_BOUNDARY,Exclude PSA/NAMRIA Sea and ocean from the terrestrial model and reconcile the remaining land pro rata to the inherited 295813.1 km2 geographic control.,1.0008346686226852,scale factor,SRC_PSA_NAMRIA_LAND_ACCOUNTS_2020,,,Preserves the current model geography and closes the land account without adding or dropping modeled territory.,The pre-reconciliation difference is disclosed in the input snapshot.
ASM_PHL_V17_CLASS_MAPPING,"Map brush/shrubs to grassland/woodland, marsh/swamp to water bodies, and fishpond to other agricultural land.",seven-class concordance,classification rule,SRC_PSA_NAMRIA_LAND_ACCOUNTS_2020;SRC_FAO_FRA_2025_PHL_FOREST,,,Matches the available model stocks while preserving the official forest boundary and treating fishpond as managed production land.,Replace if a future model adds wetland or aquaculture-land stocks.
ASM_PHL_V17_BASE_YEAR_EQUALITY,Initialize all eight national ENV_LAND modes with lower-equals-upper activity bounds in 2020 and keep MINLNDTOT lower-equals-upper at 295.8131 thousand km2 in every model year.,2020 class equalities; 2020-2053 national equality,model formulation,SRC_PSA_NAMRIA_LAND_ACCOUNTS_2020;SRC_PHL_PR1_LAND_DIAGNOSTIC,,,A forest floor absorbs the rewarded residual and an open national endowment lets area disappear; equality fixes the observed base year and closes every annual national account.,National totals only; no unsupported per-cluster pro-rata pins.
ASM_PHL_V17_IDLE_FALLOW_MODE,"Reuse existing LNDOTHTOT mode 2 as a nonnegative endogenous idle/fallow cropland route, capped at its observed 2020 balancing stock, rather than adding a new technology or global mode.",mode 2,model formulation,SRC_PHL_V17_LAND_BUILD;SRC_PHL_V17_LAND_VALIDATION,0,5.2877,Separates observed cropland cover from productive harvested-area-equivalent activity while preventing an accounting mode from absorbing brush as unsourced new idle cropland.,2020 solved idle/fallow is 5.2877 thousand km2; productive crop technologies have no added upper bound.
ASM_PHL_V17_LOTHTOT_HYDROLOGY_PROXY,"Both LNDOTHTOT modes produce LOTHTOT, so idle/fallow cropland inherits the existing cluster mode-29 other-land hydrology coefficients.",LOTHTOT coefficient 1,proxy formulation,SRC_PHL_V17_LAND_BUILD,,,Preserves the existing water links without inventing national-to-cluster land-cover shares.,Upgrade with measured idle/fallow evapotranspiration/runoff and spatial allocation.
ASM_PHL_V17_FOREST_VC_DEFERRED,Retain forest mode-27 VC=-10 while adding a national expansion envelope; defer restoration/conversion costs or lags and benefit sensitivities.,-10,model variable-cost unit,SRC_PHL_V17_LAND_BUILD,,,Preserves the user's forest-benefit policy signal while separate activity bounds prevent implausible instantaneous expansion.,"Future cases proposed: 0, -5, -10, and a higher-benefit case."
ASM_PHL_V17_NGP_RATE_PROXY,Use the original National Greening Program target area divided by its six-year period as a conservative national forest-expansion envelope rate.,2.5,1000 km2/year,SRC_PHL_EO26_NGP_2011;SRC_PHL_V17_LAND_TRANSITION_INPUTS,0,2.5,Provides a transparent Philippine policy-scale rate and prevents the rewarded forest mode from taking the entire residual in one year.,Programme target area is not measured net forest-cover change; the model uses it only as an upper-envelope proxy.
ASM_PHL_V17_BRUSH_ELIGIBILITY_PROXY,Preserve the reconciled true-grassland component and apply the DENR/MPFD 80 percent production-plantation suitability screen only to the mapped brush/shrub component when limiting net forest expansion.,reserve=19.6264; mapped brush=58.1192; forest-eligible brush=46.49536,1000 km2,SRC_PSA_NAMRIA_LAND_ACCOUNTS_2020;SRC_FAO_FMB_PHL_PLANTATION_SUITABILITY;SRC_PHL_V17_LAND_TRANSITION_INPUTS,19.6264 true grass retained,46.49536 net forest expansion from brush,The national DENR/MPFD screen supplies a documented central suitability fraction while excluding true grassland from forest conversion.,"The ceiling is forest-only. Cropland and built-up land may use the full mapped brush stock. Upgrade with a current parcel overlay of legal forestland, tenure, slope, soils, biodiversity and restoration suitability."
ASM_PHL_V17_BUILT_UP_CENTRAL_PATH,"Grow built-up land in proportion to the model's PSA Scenario 2 population and a linearly rising urban share from 54 percent in 2020 to 65 percent in 2050, holding the share constant thereafter.",2020=10.2649;2050=15.4217285825;2053=15.5828875716,1000 km2,SRC_PSA_NAMRIA_LAND_ACCOUNTS_2020;SRC_PSA_CBPP_2020_SCENARIO2;SRC_PSA_URBAN_POPULATION_2020;SRC_WB_PHL_URBANIZATION_2050,annual central path,annual central path,Population alone misses continuing urbanization; constant built-up area per urban resident is a transparent aggregate central approximation.,No density sensitivity or spatial allocation is included. Development draws land through the closed national balance.
ASM_PHL_V17_NONCONVERTIBLE_CLASS_PRESERVATION,"Keep other agricultural land (mapped fishpond), barren land and water bodies equal to their reconciled 2020 stocks in every future year.",2.2879;1.5950;6.3198,1000 km2,SRC_PSA_NAMRIA_LAND_ACCOUNTS_2020;SRC_PHL_V17_LAND_TRANSITION_INPUTS,2020 stock,2020 stock,"The aggregate model lacks sourced fishpond, barren-land and wetland transition trajectories; allowing these stocks to disappear created physically invalid residual adjustments.",Built-up land is no longer fixed; it follows ASM_PHL_V17_BUILT_UP_CENTRAL_PATH.
ASM_PHL_V17_CROPLAND_RESERVE,Keep total cropland at least at its reconciled 2020 stock while allowing productive crop area to respond endogenously to crop demand and retaining the balance as idle/fallow mode 2.,125.2805,1000 km2 minimum,SRC_PSA_NAMRIA_LAND_ACCOUNTS_2020;SRC_PHL_V17_LAND_TRANSITION_INPUTS,125.2805,national land balance,Prevents the model from treating observed idle/fallow cropland as immediately disposable while preserving endogenous food-production choices.,"This is a land reserve, not a forced production level; modeled crop demands remain unchanged."
ASM_PHL_V18_GEOTHERMAL_CEILING,Use 0.70 as the interim central geothermal annual availability ceiling.,0.70,fraction,SRC_PHL_V16_ENERGY_INPUT_MANIFEST,0.637,0.700,The v16 installed and dependable benchmarks support a physical ceiling well below 0.90 while 0.70 avoids fitting utilization as a target.,Replace with plant-level outage and steam-field availability data.
ASM_PHL_V18_COST_CONVENTION,Use source-year USD values directly because the inherited model declares no common price year.,source-year dollars,USD,SRC_BNEF_PHL_PATH_2025;SRC_NREL_SMR_PROJECTION_2024;SRC_PEZA_MALAMPAYA_PRICE_2020;SRC_PHL_ERC_LNG_COST_2025,,,This is more transparent than falsely labelling mixed-year evidence as constant 2020 USD.,A common real price year remains a high-priority gap.
ASM_PHL_V18_CAPEX_PATH,Hold the selected coal and SMR capital-cost benchmarks flat through 2053.,1604.789 coal;8000 SMR,MUSD/GW,SRC_BNEF_PHL_PATH_2025;SRC_NREL_SMR_PROJECTION_2024,,,Installs central evidence without adding an unsupported learning or escalation forecast.,Source reference years differ and are explicit.
ASM_PHL_V18_DOMESTIC_DECLINE,After observed 2024 production apply a 0.8 percent annual decline to the domestic-route ceiling.,0.8,percent/year,SRC_PHL_DOE_GAS_PROD_2024,,,Transparent interim continuation compatible with the DOE PEP decline narrative while retaining possible supplementary domestic fields.,Not a field-reservoir forecast; update when the Malampaya Phase 4 production profile is public.
ASM_PHL_V18_LNG_TERMINAL_ENVELOPE,Use the DOE-reported combined 8 MTPA operating-terminal capacity as the import ceiling from 2024.,8,MTPA,SRC_PHL_DOE_LNG_CAPACITY_2024,,,A physical receiving ceiling is preferable to unconstrained import activity and does not force use.,Does not include later proposed terminals or the PEP 2050 additional-capacity option.
ASM_PHL_V18_COAL_CV_EVIDENCE_LIMIT,Treat approximately 22.1 GJ/t as a conversion check only until the exact DOE table is retained.,22.1,GJ/t,SRC_PHL_PR1_ENERGY_DIAGNOSTIC,,,Prevents the 17.6 GJ/t Indonesian-coal proxy from being silently used for Philippine price conversion without overstating evidence precision.,No v18 coal-price model cell changes.
ASM_PHL_V18_DEPLOY_PP_WON_2026_2029,"PHL_POW_PP_WON may commission at most 1.5 GW/year of expansion headroom during 2026-2029, before replacement allowances.",1.5,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_WON_2030_2039,"PHL_POW_PP_WON may commission at most 3.0 GW/year of expansion headroom during 2030-2039, before replacement allowances.",3.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_WON_2040_2053,"PHL_POW_PP_WON may commission at most 5.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",5.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_SPV_2026_2029,"PHL_POW_PP_SPV may commission at most 4.0 GW/year of expansion headroom during 2026-2029, before replacement allowances.",4.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039,"PHL_POW_PP_SPV may commission at most 7.0 GW/year of expansion headroom during 2030-2039, before replacement allowances.",7.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_SPV_2040_2053,"PHL_POW_PP_SPV may commission at most 10.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",10.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_COAL_2026_2029,"PHL_POW_PP_COAL may commission at most 2.0 GW/year of expansion headroom during 2026-2029, before replacement allowances.",2.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_COAL_2030_2039,"PHL_POW_PP_COAL may commission at most 2.5 GW/year of expansion headroom during 2030-2039, before replacement allowances.",2.5,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_COAL_2040_2053,"PHL_POW_PP_COAL may commission at most 3.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",3.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_COAL_CCS_2026_2029,"PHL_POW_PP_COAL_CCS may commission at most 2.0 GW/year of expansion headroom during 2026-2029, before replacement allowances.",2.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_COAL_CCS_2030_2039,"PHL_POW_PP_COAL_CCS may commission at most 2.5 GW/year of expansion headroom during 2030-2039, before replacement allowances.",2.5,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_COAL_CCS_2040_2053,"PHL_POW_PP_COAL_CCS may commission at most 3.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",3.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_NGCC_2026_2029,"PHL_POW_PP_NGCC may commission at most 2.0 GW/year of expansion headroom during 2026-2029, before replacement allowances.",2.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_NGCC_2030_2039,"PHL_POW_PP_NGCC may commission at most 2.5 GW/year of expansion headroom during 2030-2039, before replacement allowances.",2.5,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_NGCC_2040_2053,"PHL_POW_PP_NGCC may commission at most 3.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",3.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_NGCC_CCS_2026_2029,"PHL_POW_PP_NGCC_CCS may commission at most 2.0 GW/year of expansion headroom during 2026-2029, before replacement allowances.",2.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_NGCC_CCS_2030_2039,"PHL_POW_PP_NGCC_CCS may commission at most 2.5 GW/year of expansion headroom during 2030-2039, before replacement allowances.",2.5,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_NGCC_CCS_2040_2053,"PHL_POW_PP_NGCC_CCS may commission at most 3.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",3.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_GEO_OLD_2026_2029,"PHL_POW_GEO_OLD may commission at most 0.15 GW/year of expansion headroom during 2026-2029, before replacement allowances.",0.15,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_EDC_GEOTHERMAL_DRILLING_2024;SRC_ADB_PHL_GEOTHERMAL_DERISKING_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_GEO_OLD_2030_2039,"PHL_POW_GEO_OLD may commission at most 0.25 GW/year of expansion headroom during 2030-2039, before replacement allowances.",0.25,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_EDC_GEOTHERMAL_DRILLING_2024;SRC_ADB_PHL_GEOTHERMAL_DERISKING_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_GEO_OLD_2040_2053,"PHL_POW_GEO_OLD may commission at most 0.35 GW/year of expansion headroom during 2040-2053, before replacement allowances.",0.35,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_EDC_GEOTHERMAL_DRILLING_2024;SRC_ADB_PHL_GEOTHERMAL_DERISKING_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_HY_LA_2026_2029,"PHL_POW_PP_HY_LA may commission at most 1.0 GW/year of expansion headroom during 2026-2029, before replacement allowances.",1.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_HY_LA_2030_2039,"PHL_POW_PP_HY_LA may commission at most 1.5 GW/year of expansion headroom during 2030-2039, before replacement allowances.",1.5,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_HY_LA_2040_2053,"PHL_POW_PP_HY_LA may commission at most 2.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",2.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_BIOM_CCS_2026_2029,"PHL_POW_PP_BIOM_CCS may commission at most 0.20 GW/year of expansion headroom during 2026-2029, before replacement allowances.",0.20,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_BIOM_CCS_2030_2039,"PHL_POW_PP_BIOM_CCS may commission at most 0.30 GW/year of expansion headroom during 2030-2039, before replacement allowances.",0.30,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_BIOM_CCS_2040_2053,"PHL_POW_PP_BIOM_CCS may commission at most 0.40 GW/year of expansion headroom during 2040-2053, before replacement allowances.",0.40,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_H2_2026_2029,"PHL_POW_PP_H2 may commission at most 0 GW/year of expansion headroom during 2026-2029, before replacement allowances.",0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_H2_2030_2039,"PHL_POW_PP_H2 may commission at most 1.0 GW/year of expansion headroom during 2030-2039, before replacement allowances.",1.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_H2_2040_2053,"PHL_POW_PP_H2 may commission at most 2.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",2.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_WOF_2026_2027,"PHL_POW_PP_WOF may commission at most 0 GW/year of expansion headroom during 2026-2027, before replacement allowances.",0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_ADB_PHL_GEOTHERMAL_DERISKING_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_WOF_2028_2030,"PHL_POW_PP_WOF may commission at most 1.0 GW/year of expansion headroom during 2028-2030, before replacement allowances.",1.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_ADB_PHL_GEOTHERMAL_DERISKING_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_WOF_2031_2039,"PHL_POW_PP_WOF may commission at most 2.0 GW/year of expansion headroom during 2031-2039, before replacement allowances.",2.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_ADB_PHL_GEOTHERMAL_DERISKING_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
ASM_PHL_V18_DEPLOY_PP_WOF_2040_2053,"PHL_POW_PP_WOF may commission at most 4.0 GW/year of expansion headroom during 2040-2053, before replacement allowances.",4.0,GW/year,SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_ADB_PHL_GEOTHERMAL_DERISKING_2024,,,"Judgmental, policy-neutral construction/financing/permitting/grid envelope informed by Philippine deployment evidence; it is deliberately generous and is not a forecast or capacity target.",classification=judgmental; BASE physical envelope inherited by policy scenarios unless an existing scenario override is more restrictive
